"brand","title","price","url"
"2XU","Short 2XU Light Speed Compression Hombre","67.43","https://fitpoint.ec/short-2xu-light-speed-compression-hombre-ma5331b-2xu-2503.html"
"2XU","Short 2XU Light Speed Compression Hombre","67.43","https://fitpoint.ec/short-2xu-light-speed-compression-hombre-ma5331b-2xu-3050.html"
"2XU","Camiseta 2XU Core Compression Hombre","52.43","https://fitpoint.ec/camiseta-2xu-core-compression-hombre-ma6399a-2xu-1824.html"
"2XU","Camiseta 2XU Core Compression Hombre","52.43","https://fitpoint.ec/camiseta-2xu-core-compression-hombre-ma6399a-2xu-2985.html"
"2XU","Bividi 2XU Core Compression Sleeveless Hombre","48.68","https://fitpoint.ec/bividi-2xu-core-compression-sleeveless-hombre-ma6400a-2xu-1824.html"
"2XU","Camiseta 2XU Motion Cotton Flex Hombre","37.43","https://fitpoint.ec/camiseta-2xu-motion-cotton-flex-hombre-mr7427a-2xu-0005.html"
"2XU","Camiseta 2XU Motion Cotton Flex Hombre","37.43","https://fitpoint.ec/camiseta-2xu-motion-cotton-flex-hombre-mr7427a-2xu-3695.html"
"2XU","Mangas 2XU Flex Compression Unisex","33.68","https://fitpoint.ec/mangas-2xu-flex-compression-unisex-ua4009a-2xu-0133.html"
"2XU","Mangas 2XU Flex Compression Unisex","33.68","https://fitpoint.ec/mangas-2xu-flex-compression-unisex-ua4009a-2xu-0258.html"
"2XU","Medias 2XU Vectr Cushion Hombre","18.68","https://fitpoint.ec/medias-2xu-vectr-cushion-hombre-ua5053e-2xu-2507.html"
"2XU","Medias 2XU Vectr Cushion Hombre","18.68","https://fitpoint.ec/medias-2xu-vectr-cushion-hombre-ua5053e-2xu-3689.html"
"2XU","Medias 2XU Vectr Cushion Hombre","18.68","https://fitpoint.ec/medias-2xu-vectr-cushion-hombre-ua5053e-2xu-3692.html"
"2XU","Medias 2XU Vectr Light Cushion Full Length Compression Unisex","33.68","https://fitpoint.ec/medias-2xu-vectr-light-cushion-full-length-compression-unisex-ua5155e-2xu-2507.html"
"2XU","Medias 2XU Vectr Light Cushion Full Length Compression Unisex","33.68","https://fitpoint.ec/medias-2xu-vectr-light-cushion-full-length-compression-unisex-ua5155e-2xu-3688.html"
"2XU","Cinturon 2XU Nutrition Race Unisex","14.93","https://fitpoint.ec/cinturon-2xu-nutrition-race-unisex-uq3800g-2xu-0005.html"
"2XU","Gorro 2XU Run Unisex","22.43","https://fitpoint.ec/gorro-2xu-run-unisex-uq5685f-2xu-3689.html"
"2XU","Gorro 2XU Run Unisex","18.68","https://fitpoint.ec/gorro-2xu-run-unisex-uq5686f-2xu-0005.html"
"2XU","Gorro 2XU Light Speed Unisex","26.18","https://fitpoint.ec/gorro-2xu-light-speed-unisex-uq6741f-2xu-2504.html"
"2XU","Bolso 2XU Gym Bag Unisex","52.43","https://fitpoint.ec/bolso-2xu-gym-bag-unisex-uq7143g-2xu-0005.html"
"2XU","Cinturon 2XU Run Unisex","26.18","https://fitpoint.ec/cinturon-2xu-run-unisex-uq7270g-2xu-0005.html"
"2XU","Bolso Commute Tote Unisex","78.68","https://fitpoint.ec/bolso-commute-tote-unisex-uq7423g-2xu-3690.html"
